#Gene   SNP P-value -Log(P-value)
UHRF1	rs12977104	1e-12	1.200000e+01
TCF12	rs28490139	2e-12	1.169897e+01
ZBTB26	rs10818763	2e-12	1.169897e+01
NMI	rs3845843	2e-12	1.169897e+01
MAML3	rs12505942	2e-12	1.169897e+01
BRAF	rs60251368	2e-12	1.169897e+01
PSMC2	rs187653072	2e-12	1.169897e+01
MED23	rs2608953	3e-12	1.152288e+01
JMJD1C	rs111765639	5e-12	1.130103e+01
MYO5A	rs74804697	5e-12	1.130103e+01
ERN1	rs57767539	7e-12	1.115490e+01
PKLR	rs3020781	7e-12	1.115490e+01
MRAS	rs6766859	7e-12	1.115490e+01
IPO9	rs41304257	8e-12	1.109691e+01
BTD	rs924753	1e-11	1.100000e+01
PRKAB2	rs76754787	1e-11	1.100000e+01
STK17B	rs6712905	2e-11	1.069897e+01
LONRF1	rs12056338	3e-11	1.052288e+01
GINS2	rs11646052	3e-11	1.052288e+01
MTOR	rs7554251	3e-11	1.052288e+01
STRBP	rs7026688	3e-11	1.052288e+01
CBX1	rs3744347	5e-11	1.030103e+01
WWTR1	rs28712435	6e-11	1.022185e+01
BMPR2	rs6714523	6e-11	1.022185e+01
ERLIN1	rs1408579	6e-11	1.022185e+01
PDCD4	rs10787287	7e-11	1.015490e+01
MYBL2	rs419842	7e-11	1.015490e+01
BMF	rs484943	8e-11	1.009691e+01
SMARCC1	rs62262091	1e-10	1.000000e+01
GMEB1	rs3753693	1e-10	1.000000e+01
PIK3R1	rs4976033	1e-10	1.000000e+01
CDKN1B	rs2066827	2e-10	9.698970e+00
DNM3	rs7546252	2e-10	9.698970e+00
FGFR4	rs3135911	3e-10	9.522879e+00
ZNF346	rs3135911	3e-10	9.522879e+00
EMSY	rs2513505	4e-10	9.397940e+00
LDHB	rs11046164	4e-10	9.397940e+00
PCBD1	rs827237	4e-10	9.397940e+00
PSRC1	rs602633	4e-10	9.397940e+00
PLA2G6	rs133015	5e-10	9.301030e+00
ZEB2	rs2033159	5e-10	9.301030e+00
TRIM63	rs9438610	7e-10	9.154902e+00
COLGALT2	rs1327123	7e-10	9.154902e+00
L3MBTL2	rs11913442	8e-10	9.096910e+00
MAD1L1	rs4721089	8e-10	9.096910e+00
STK11	rs35004890	9e-10	9.045757e+00
ARNTL	rs10766076	1e-09	9.000000e+00
SLC41A1	rs7538321	1e-09	9.000000e+00
VAV2	rs448918	1e-09	9.000000e+00
REV3L	rs55812705	1e-09	9.000000e+00
TSHZ2	rs2252115	1e-09	9.000000e+00
GTF2I	rs13238568	2e-09	8.698970e+00
PCNT	rs75756987	2e-09	8.698970e+00
FSD2	rs36111056	2e-09	8.698970e+00
FOXK1	rs62452060	2e-09	8.698970e+00
IKZF2	rs4673712	2e-09	8.698970e+00
SPG7	rs12920022	2e-09	8.698970e+00
CAMK2G	rs2633311	3e-09	8.522879e+00
TTN	rs6715901	3e-09	8.522879e+00
CHD4	rs7316626	3e-09	8.522879e+00
ZNF76	rs33959228	3e-09	8.522879e+00
MARK3	rs12890750	3e-09	8.522879e+00
BEND7	rs11258422	3e-09	8.522879e+00
IGF1R	rs59646751	3e-09	8.522879e+00
FXYD6-FXYD2	rs529623	4e-09	8.397940e+00
NOS1	rs884847	4e-09	8.397940e+00
TOM1	rs138771	4e-09	8.397940e+00
HEY2	rs7758115	4e-09	8.397940e+00
TRPV5	rs4252505	5e-09	8.301030e+00
RPTOR	rs11150745	5e-09	8.301030e+00
GRB10	rs7781440	5e-09	8.301030e+00
BAK1	rs9296095	5e-09	8.301030e+00
MYO19	rs1109442	6e-09	8.221849e+00
AP1B1	rs75401573	6e-09	8.221849e+00
KIF3C	rs72803684	6e-09	8.221849e+00
ERBB4	rs3828242	6e-09	8.221849e+00
ETF1	rs112667817	6e-09	8.221849e+00
MERTK	rs34589210	7e-09	8.154902e+00
BANP	rs11117364	8e-09	8.096910e+00
ADRB1	rs10787518	9e-09	8.045757e+00
KPNA3	rs4942883	9e-09	8.045757e+00
RASA1	rs7719891	9e-09	8.045757e+00
RPS6KA1	rs6685701	1e-08	8.000000e+00
RORA	rs8033609	1e-08	8.000000e+00
MAGI2	rs3779272	1e-08	8.000000e+00
HSPA12A	rs7912336	1e-08	8.000000e+00
SMUG1	rs1872635	1e-08	8.000000e+00
EYA1	rs10101067	1e-08	8.000000e+00
ART3	rs4440243	1e-08	8.000000e+00
TSHZ3	rs4805681	1e-08	8.000000e+00
VGLL3	rs1437055	1e-08	8.000000e+00
CHD1	rs73167517	1e-08	8.000000e+00
GDF6	rs510062	1e-08	8.000000e+00
HAT1	rs62182438	1e-08	8.000000e+00
L3MBTL3	rs35164294	1e-08	8.000000e+00
YWHAH	rs117001013	1e-08	8.000000e+00
FCGRT	rs142385484	2e-08	7.698970e+00
HLA-G	rs2394186	2e-08	7.698970e+00
RANBP17	rs2913873	2e-08	7.698970e+00
VPS11	rs7127212	2e-08	7.698970e+00
KIF5A	rs11172254	2e-08	7.698970e+00
FOXP1	rs844215	2e-08	7.698970e+00
PRKD1	rs12433335	2e-08	7.698970e+00
NOL4	rs17747955	2e-08	7.698970e+00
AZIN1	rs2679745	2e-08	7.698970e+00
HTT	rs362307	3e-08	7.522879e+00
PRDX5	rs1662185	3e-08	7.522879e+00
CCDC88B	rs1662185	3e-08	7.522879e+00
TCF3	rs4807125	3e-08	7.522879e+00
NUDT21	rs111283203	3e-08	7.522879e+00
AQP10	rs1194606	3e-08	7.522879e+00
ZNHIT3	rs4796224	3e-08	7.522879e+00
PGRMC2	rs12509379	3e-08	7.522879e+00
STAU2	rs28792187	4e-08	7.397940e+00
ARID4A	rs10137475	4e-08	7.397940e+00
TRHR	rs4734193	4e-08	7.397940e+00
